S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
135,http://www.indianmetalnalloys.com,97002.01327,11,5,5,3124,8,17,0.012101,0.018059,0.014768,0.166769,1777620,3821568,5090
136,https://www.serenityblue.co.uk,97002.474518,4,4,279,8772,13,18,0.03203,0.025348,0.121044,0.580309,12656880,31670272,4562
137,https://www.saniplus-fritzlar.de,97003.593698,7,7,321,16960,46,293,0.062916,0.092015,0.184972,0.67508,5190424,10510336,5858
138,http://www.kidgell.com,97003.752614,3,1,45,1305,5,1,0.003905,0.000555,0.000339,0.045221,1339588,3297280,3742
139,https://justpolarized.com,97004.72185,3,3,500,17432,21,203,0.032473,0.072804,0.230279,0.663855,5604404,12345344,4525
140,http://www.gaytantrucking.com,97005.522734,3,1,0,415,2,0,0.000143,0,0,0.019043,1236864,3297280,1745
141,https://www.thewiseway.co.uk,97008.116888,5,5,338,2798,28,42,0.031337,0.036399,0.160128,0.785717,10965148,29646848,3151
142,https://nutsd.com,97008.981651,10,9,81,15642,46,160,0.037656,0.107782,0.133143,0.503679,7089664,11132928,2550
143,http://tampadumpsterrental.com,97009.339299,3,5,207,14068,21,24,0.022924,0.019058,0.227733,0.406572,6608796,15613952,3100
144,https://www.eprotax.com,97009.951633,6,7,277,104466,218,310,0.169631,0.287633,0.237598,1.502638,8832460,18898944,8280
145,https://www.oosmose.com,97010.956063,3,3,880,32877,17,176,0.101992,0.058866,0.121288,0.625702,8733044,18391040,5196
146,https://travelscotland.com,97011.566695,4,1,4,769,8,4,0.004753,0.007512,0.011002,0.068153,2225836,3821568,8854
147,http://www.zumbaconmary.com,97012.063647,5,3,488,9575,7,4,0.005765,0.002546,0.006924,0.136073,1567816,3559424,9903
148,https://www.fionatwomey.ie,97012.406321,4,1,94,3436,17,39,0.021518,0.016519,0.024228,0.149068,2274228,4218880,3898
149,https://resapin.com.es,97014.096021,4,4,166,33002,26,77,0.04055,0.088285,0.18653,0.571038,9975836,18702336,7939
150,https://www.ihp.com.do,97015.326512,1,1,415,15982,21,64,0.048974,0.042688,0.211926,0.787746,9783000,19894272,8513
151,https://www.lenoir-geometre.fr,97015.977748,3,1,48,2194,12,45,0.023547,0.012372,0.021795,0.136194,2316440,3821568,4302
152,http://www.premiumclasstransport.fr,97016.142858,3,1,45,2156,45,43,0.010248,0.003826,0.025561,0.100722,1987020,3821568,3727
153,https://www.dancerlove.org,97016.664221,4,7,248,867,22,82,0.019394,0.021083,0.1309,0.619654,11835524,29384704,2869
154,https://www.greyhousemedia.com,97016.792519,7,3,14,1287,16,15,0.018754,0.0079,0.091624,0.159722,6661076,10973184,6907
155,https://juni-art.com,97017.874641,4,1,39,8471,14,14,0.066086,0.017986,0.035374,0.233575,3997628,5152768,6947
156,https://www.reruntruckparts.com,97018.144557,4,2,52,3972,25,22,0.007675,0.003272,0.036147,0.091159,3040968,4218880,3642
157,https://www.ws-edelstahltechnik.de,97020.488216,3,3,51,14678,43,109,0.044566,0.047847,0.091751,0.346998,4483872,10371072,4593
158,https://www.speedratings.com,97021.002376,23,16,65,3917,26,49,0.009321,0.015238,0.146337,0.269042,8339564,11821056,4026
159,https://izz2izz.it,97022.521062,12,12,116,3561,14,12,0.037251,0.059794,0.010193,0.479542,1469488,3432448,4408
160,https://www.dn8.uk,97022.959344,10,4,171,1122,31,29,0.062081,0.019208,0.07447,0.250658,4939920,6053888,5976
161,http://databros.it,97023.41035,5,2,44,8668,21,80,0.028382,0.022706,0.202494,0.359491,5539312,6553600,5518
162,https://www.baldibalmelli.ch,97024.288442,3,1,4,815,15,13,0.008378,0.002293,0.011975,0.04821,2013588,3559424,4825
163,https://www.robertleitnerfan.com,97025.006963,6,5,56,6750,22,32,0.015955,0.027126,0.106154,0.233083,7020680,10964992,4137
164,http://www.dempseyfinancial.com,97026.083231,11,5,93,732,13,13,0.005815,0.002178,0.018055,0.06591,3493176,5005312,4801
165,https://rescuevac.com,97028.006712,1,1,566,11618,24,37,0.04285,0.043159,0.1871,0.583924,9512120,18821120,1708
166,http://www.frameofmindproductions.com,97028.346508,3,1,26,817,12,12,0.008676,0.032328,0.04432,0.141295,2618044,4743168,4257
167,https://www.bulkatlantic.com,97034.445432,4,4,100,4597,29,29,0.034308,0.028237,0.040727,3.208104,2343612,4743168,5916
168,https://robertpetrarca.com,97035.070289,30,32,421,3416,98,202,0.087124,0.091665,0.258272,1.125248,11166524,30629888,7468
169,http://www.mietstudio-a3.de,97035.295455,3,1,2,1690,5,5,0.042521,0.007152,0.001492,0.096315,1304848,3297280,2717
170,https://www.imdance.com,97035.52401,2,5,296,903,21,23,0.028445,0.014401,0.137502,0.840448,10286924,13656064,7752
171,https://www.ascenter.si,97035.713738,3,4,73,5917,23,33,0.034458,0.038525,0.328311,0.7437,9238624,16519168,8295
172,http://www.myfelt.co.uk,97038.424208,25,23,1884,44246,102,112,0.384221,0.089638,1.155297,2.523744,20529772,37826560,7222
173,http://www.ospreyribs.com,97038.85187,3,1,30,3383,29,44,0.011573,0.016885,0.038399,0.136205,4602904,8937472,3835
174,http://www.imperialgem.com,97039.078995,3,1,163,5923,5,1,0.002217,0.001538,0.000772,0.063373,1435652,3035136,3291
175,http://www.reedsburgindependent.com,97039.510993,5,3,75,15437,32,35,0.481812,0.020552,0.124231,1.209577,6435896,9973760,7804
176,https://www.elevation-cp.com,97040.441424,2,1,137,11476,64,119,0.041244,0.038558,0.496897,1.313584,7516132,15753216,4293
177,https://www.werbewelt-lehmann.de,97040.729498,9,4,14,1874,49,47,0.035517,0.028192,0.016001,0.158352,2247460,4218880,5086
178,http://www.sarahapletts.org,97042.661963,3,22,67,4279,16,23,0.01194,0.012379,0.030649,0.140717,2525788,5791744,6101
179,https://www.ngdsonline.org,97043.622111,1,1,268,1160,22,92,0.042784,0.055426,0.166803,0.808608,10283912,20996096,3712
180,https://www.totaltrimsolutions.co.uk,97044.75921,5,3,178,19906,47,77,0.095546,0.051961,0.0797,0.433817,5897792,10510336,4995
181,https://impotenceinfocentre.com,97044.923966,3,1,17,3511,5,4,0.003358,0.00239,0.000141,0.038517,1425100,3035136,4180
182,https://www.teambau-itzum.de,97045.755958,2,1,220,9434,34,59,0.066131,0.106957,0.071672,0.437219,4048664,7102464,26604
183,http://www.juniorcars.be,97046.446398,4,4,28,3298,18,15,0.023504,0.013157,0.045684,0.169297,3596712,5005312,6764
184,https://www.vgssecurite.fr,97048.262983,4,1,105,8692,59,73,0.047067,0.029894,0.115845,0.298895,7285340,9723904,7366
185,https://www.rubinror.se,97049.938621,5,2,54,11745,27,42,0.026692,0.020675,0.10002,0.248668,6816308,10797056,3535
186,http://www.raon2017.co.kr,97050.839346,10,11,97,24478,60,96,0.06922,0.024406,0.039532,0.362171,4205140,5554176,9137
187,https://sabner.com,97051.777376,3,5,87,11721,19,18,0.056628,0.03743,0.061032,0.33272,2942748,9199616,4292
188,https://www.dreitannen-bodenmais.de,97053.032822,6,2,675,6669,34,31,0.033208,0.021243,0.252887,0.461929,6291928,11821056,7207
189,https://www.plasticsurgeryinfrance.co.uk,97054.047206,4,1,224,19497,80,121,0.05985,0.049785,0.106425,0.474711,8012236,11276288,6494
190,http://www.ricaglass.com.br,97054.286137,3,1,3,2232,6,5,0.007898,0.001486,0.009688,0.054252,2131596,3821568,9071
191,https://beauty-zone.ch,97055.07885,3,4,61,6706,67,75,0.095491,0.05474,0.176944,0.608534,9344724,16646144,4059
192,https://www.gisonda.com,97055.721237,1,1,242,828,19,25,0.015644,0.014664,0.097968,0.481478,7486268,17850368,2433
193,https://www.countrycornerscotland.co.uk,97058.056333,1,1,416,29524,327,348,0.145264,0.043584,0.12093,0.924025,3700540,5451776,8195
194,https://www.kinemuizen.be,97058.964149,1,5,85,3162,372,481,0.078415,0.043443,0.416366,0.779436,9639604,18636800,4931
195,https://besteestores.com,97059.585977,2,2,213,23730,167,197,0.098966,0.067353,0.181587,0.651347,9887944,19144704,8013
196,https://www.flaver.co.uk,97061.150628,4,2,4,442,8,9,0.002019,0.001571,0.005629,0.062931,2540792,3956736,2866
197,https://www.yogabristol.co.uk,97062.762779,3,1,173,15066,98,143,0.04499,0.030167,0.065072,0.245649,3157908,6053888,2647
198,https://thegioiduocvinhgia.vn,97064.699557,11,18,181,54995,114,120,0.105893,0.10365,0.464284,1.041377,20245024,28672000,4178
199,https://www.smplumbing.co.uk,97066.396442,1,1,242,20105,16,14,0.023736,0.015237,0.102265,0.423658,14890008,22167552,2867
200,https://www.greensac.com,97074.666121,3,1,26,5503,27,7,0.032971,0.010912,0.0465,0.384729,3670500,6316032,6354
201,https://contemporaryjudaica.co.uk,97077.841232,3,2,512,144189,93,365,0.240006,0.316393,0.683649,3.415883,12640560,23904256,7233
202,https://www.reitbetrieb-maeder.com,97079.06836,2,2,304,965,16,15,0.033125,0.028132,0.214325,1.061758,8994992,19161088,2909
203,http://www.noralu.fr,97079.483479,3,1,21,2191,21,18,0.011622,0.006777,0.020318,0.143855,2281648,3956736,4131
204,https://www.ski-elstra.de,97080.824821,11,5,5,912,22,10,0.015477,0.004441,0.000913,0.188251,2826300,4345856,4997
205,https://akeboose.com,97082.597641,1,2,569,46407,97,266,0.251395,0.208903,0.183646,1.375843,6079540,8552448,21965
206,https://www.damp24.de,97085.558322,3,1,173,5024,8,5,0.012648,0.005939,0.005552,0.138909,2034796,3559424,3703
207,http://www.manchesterdentistry.com,97085.932634,4,1,9,1660,5,4,0.012169,0.006617,0.013775,0.072903,2012624,3821568,2590
