S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
157,https://rescuevac.com,17756.605611,4,4,600,821,45,56,0.044092,0.04084,0.205848,0.562013,9730152,17838080,2402
158,https://www.imdance.com,17757.250992,11,10,421,1057,20,24,0.027326,0.02193,0.12271,0.51465,15223132,23367680,3969
159,https://robertpetrarca.com,17758.044316,63,35,519,1710,101,175,0.11282,0.061069,0.247062,0.895673,14013132,23773184,6542
160,https://www.bulkatlantic.com,17759.940864,12,5,106,1809,24,30,0.043978,0.020628,0.034129,0.175837,3735496,5619712,6306
161,https://www.ascenter.si,17760.791698,6,7,77,943,23,36,0.019121,0.025618,0.160445,0.345387,10152616,17481728,5952
162,http://www.ospreyribs.com,17761.978515,6,4,30,690,27,41,0.020339,0.012039,0.041159,0.121897,4319548,8925184,3590
163,http://www.imperialgem.com,17762.192693,6,4,11,421,5,4,0.002049,0.002148,0.000563,0.036879,1121644,2498560,3348
164,http://youilhoseclamp.com,17763.353045,6,4,65,1101,37,48,0.034598,0.012081,0.101892,0.234214,5412188,6828032,12842
165,http://www.reedsburgindependent.com,17763.719949,8,6,57,1643,31,34,0.026942,0.015556,0.067984,0.543848,5555436,9699328,5208
166,http://www.myfelt.co.uk,17765.464447,21,22,583,4284,134,148,0.066966,0.068277,0.496468,1.113942,14946268,34091008,6891
167,https://www.elevation-cp.com,17765.918294,4,4,137,1013,78,175,0.053968,0.047888,0.574313,1.605382,6967664,16265216,3544
168,https://www.ngdsonline.org,17767.553752,6,4,375,1249,21,85,0.066735,0.056909,0.15566,0.616952,14432676,21430272,3352
169,http://www.sarahapletts.org,17768.331853,6,15,64,457,18,25,0.014469,0.015919,0.034434,0.126336,2293124,4993024,5596
170,https://www.totaltrimsolutions.co.uk,17769.430547,8,6,178,1931,51,95,0.150637,0.049015,0.080348,0.406376,5360368,10235904,6084
171,https://www.werbewelt-lehmann.de,17769.699525,9,4,14,396,53,52,0.019845,0.014014,0.011185,0.095029,2495124,3944448,9408
172,https://impotenceinfocentre.com,17769.853761,6,4,1,325,6,6,0.004112,0.002749,0.000135,0.03571,1128280,2760704,3911
173,https://www.vgssecurite.fr,17770.845719,7,4,99,1188,58,73,0.041215,0.02933,0.150103,0.286008,5927976,10498048,4528
174,https://www.rubinror.se,17775.596151,7,4,59,821,31,46,0.041948,0.018528,0.097441,0.217362,5480540,9883648,4184
175,https://www.plasticsurgeryinfrance.co.uk,17776.686974,4,5,211,1997,114,142,0.058693,0.043739,0.102637,0.361451,4444904,10760192,3297
176,https://www.dreitannen-bodenmais.de,17777.302145,14,5,692,8281,33,37,0.028736,0.024763,0.158694,0.289133,7315516,11808768,6794
177,http://www.juniorcars.be,17777.782044,7,7,28,767,20,18,0.028439,0.013134,0.041923,0.158589,3369632,4993024,13516
178,https://www.gisonda.com,17779.936016,6,4,325,726,18,27,0.014653,0.033306,0.075439,0.307569,11581032,18731008,2057
179,https://beauty-zone.ch,17781.52748,6,7,67,1095,93,114,0.185556,0.046348,0.145911,0.53348,9056732,15548416,5087
180,https://www.kinemuizen.be,17782.040514,8,9,90,529,243,398,0.046452,0.025152,0.245071,0.468361,7652124,17313792,3237
181,https://mikepledge.ca,17782.237254,6,4,347,346,11,16,0.015777,0.013322,0.061313,0.174243,5870656,10653696,1499
182,http://www.raon2017.co.kr,17782.945448,13,14,97,3085,75,138,0.087763,0.032001,0.048603,0.341212,3936820,5160960,14423
183,https://besteestores.com,17783.50842,9,6,222,2816,139,214,0.09057,0.11073,0.427853,0.847095,10520156,19447808,6199
184,https://www.countrycornerscotland.co.uk,17787.282291,4,4,422,2170,310,332,0.11171,0.030858,0.097938,0.615411,3565128,6197248,10429
185,https://www.flaver.co.uk,17787.42627,7,6,4,111,10,14,0.004131,0.001607,0.007444,0.051827,2470036,3944448,4250
186,http://www.thomascarpetservice.com,17787.603774,6,4,2,244,5,6,0.010134,0.001779,0.006077,0.037703,1524072,3682304,4972
187,https://akeboose.com,17789.660014,8,6,271,3287,47,126,0.120277,0.125179,0.10413,0.53435,7473176,11169792,5303
188,http://www.shippingcontainerleasing.co.uk,17791.485199,6,4,37,749,58,57,0.021292,0.007091,0.039163,0.134137,3278872,5255168,9608
189,https://www.yogabristol.co.uk,17792.027793,6,4,55,2597,106,145,0.049499,0.023336,0.058458,0.211017,3154412,6041600,3791
190,https://thegioiduocvinhgia.vn,17793.463345,27,26,234,5197,56,81,0.109309,0.091287,0.427795,0.833519,17916968,26583040,5188
191,https://www.smplumbing.co.uk,17794.693885,4,4,233,1024,14,14,0.042316,0.02036,0.096149,0.352224,9202900,20033536,2578
192,https://www.reitbetrieb-maeder.com,17797.932152,4,4,301,971,19,18,0.04866,0.042378,0.183817,0.596288,9805892,21114880,2218
193,http://www.tamparadiology.com,17798.096888,7,4,9,363,5,5,0.00936,0.005348,0.00647,0.050326,1844044,3547136,4385
194,https://www.greensac.com,17801.471681,6,4,26,772,25,13,0.037847,0.012572,0.040072,0.21281,3262588,6041600,6911
195,https://contemporaryjudaica.co.uk,17803.692773,8,5,466,12046,126,374,0.141539,0.248435,0.597838,1.572137,9753124,14954496,9349
196,https://www.ski-elstra.de,17804.181106,14,8,5,817,22,21,0.012939,0.005942,0.00072,0.315139,2658176,4071424,5529
197,http://www.noralu.fr,17804.777446,6,4,21,434,26,45,0.013754,0.009814,0.022992,0.114924,2190092,3944448,5684
198,http://www.vanaarsenint.com.br,17807.689764,6,4,0,77,7,6,0.007677,0.002039,0,0.044132,1053504,2236416,5753
199,https://www.damp24.de,17808.547049,6,4,26,832,8,7,0.019226,0.007897,0.004676,0.086693,1357176,3547136,2854
200,https://www.vibram.co.uk,17809.801351,9,7,49,1272,12,19,0.087234,0.059722,0.193658,0.534457,7801396,12550144,4722
201,https://tolfaccountingny.com,17812.226651,16,11,615,9384,64,143,0.19246,0.106099,0.813056,1.731356,29787044,63361024,5511
202,http://www.manchesterdentistry.com,17812.516374,7,4,9,363,5,4,0.008903,0.006014,0.011877,0.055878,1844080,3547136,4440
