S.N,Batch No,Time Taken
1061,1061,60133
1062,1062,7011
1063,1063,6170
1064,1064,30123
1065,1065,22179
1066,1066,30126
1067,1067,5140
1068,1068,4776
1069,1069,30121
1070,1070,11403
1071,1071,30128
1072,1072,60195
1073,1073,30115
1074,1074,8118
1075,1075,10794
1076,1076,15881
1077,1077,6113
1078,1078,14033
1079,1079,6129
1080,1080,8042
1081,1081,5281
1082,1082,10147
1083,1083,8219
1084,1084,30128
1085,1085,8196
1086,1086,30137
1087,1087,9477
1088,1088,12756
1089,1089,12610
1090,1090,6089
1091,1091,9024
1092,1092,7613
1093,1093,60147
1094,1094,13815
1095,1095,6546
1096,1096,8576
1097,1097,3931
1098,1098,5406
1099,1099,60172
1100,1100,60177
1101,1101,7421
1102,1102,6038
1103,1103,16140
1104,1104,26105
1105,1105,30149
1106,1106,9109
1107,1107,10965
1108,1108,4833
1109,1109,8860
1110,1110,6014
1111,1111,4885
1112,1112,5618
1113,1113,12367
1114,1114,60176
1115,1115,8538
1116,1116,4987
1117,1117,6185
1118,1118,4825
1119,1119,7210
1120,1120,8332
1121,1121,8130
1122,1122,8297
1123,1123,11344
1124,1124,5748
1125,1125,8102
1126,1126,6295
1127,1127,6593
1128,1128,11561
1129,1129,8596
1130,1130,6240
1131,1131,21933
1132,1132,8530
1133,1133,6765
1134,1134,60166
1135,1135,9198
1136,1136,60152
1137,1137,4675
1138,1138,13246
1139,1139,10573
1140,1140,6354
1141,1141,15216
1142,1142,7956
1143,1143,13869
1144,1144,3991
1145,1145,5881
1146,1146,60161
1147,1147,5145
1148,1148,7757
1149,1149,18145
1150,1150,6811
1151,1151,5116
1152,1152,6717
1153,1153,6933
1154,1154,8394
1155,1155,60177
1156,1156,7899
1157,1157,44735
1158,1158,12111
1159,1159,30144
1160,1160,6819
1161,1161,5030
1162,1162,23187
1163,1163,14230
1164,1164,30126
1165,1165,30122
1166,1166,17361
1167,1167,4344
1168,1168,5531
1169,1169,30127
1170,1170,9719
1171,1171,60138
1172,1172,14099
1173,1173,15974
1174,1174,6890
1175,1175,6375
1176,1176,60148
1177,1177,5566
1178,1178,24728
1179,1179,6594
1180,1180,30142
1181,1181,6735
1182,1182,11238
1183,1183,60144
1184,1184,5761
1185,1185,6127
1186,1186,15539
1187,1187,6996
1188,1188,6859
1189,1189,5036
1190,1190,3464
1191,1191,11480
1192,1192,15758
1193,1193,30121
1194,1194,5674
1195,1195,5769
1196,1196,30130
1197,1197,60157
1198,1198,14098
1199,1199,4686
1200,1200,16057
1201,1201,10934
1202,1202,6833
1203,1203,6084
1204,1204,9211
1205,1205,14843
1206,1206,5966
1207,1207,6697
1208,1208,16546
1209,1209,8657
1210,1210,3950
1211,1211,4585
1212,1212,30292
1213,1213,7001
1214,1214,6451
1215,1215,31983
1216,1216,5571
1217,1217,10239
1218,1218,13246
1219,1219,7672
1220,1220,60172
1221,1221,4617
1222,1222,4055
1223,1223,5790
1224,1224,4672
1225,1225,60151
1226,1226,5372
1227,1227,30255
1228,1228,4656
1229,1229,6038
1230,1230,6000
1231,1231,5565
1232,1232,3930
1233,1233,5851
1234,1234,30134
1235,1235,16668
1236,1236,44553
1237,1237,6641
1238,1238,5340
1239,1239,5888
1240,1240,8330
1241,1241,6371
1242,1242,30125
1243,1243,4893
1244,1244,60211
1245,1245,5221
1246,1246,6395
1247,1247,12573
1248,1248,6397
1249,1249,6589
1250,1250,9749
