S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
206,https://www.heimkino.de,275175.816207,10,10,124,102199,42,108,0.066001,0.058767,0.239719,0.841601,11574760,22106112,4261
207,https://michianafamilycenter.org,275176.961428,13,6,21,18318,9,8,0.033197,0.040002,0.064272,0.301359,4816692,10313728,4194
208,https://www.capitaltalentbox.co.uk,275177.751187,6,4,19,7182,12,11,0.031892,0.019794,0.009597,0.152127,1482348,3559424,3322
209,https://www.csl.co.cr,275178.440212,3,1,0,42,5,1,0.001636,0.00027,0,0.028432,1174532,2510848,2436
210,http://www.cairnsconsultancy.com,275178.61307,3,1,8,815,17,24,0.009515,0.007713,0.012929,0.129208,2267540,3956736,3522
211,https://www.cslbehring.gr,275179.365397,5,5,411,9984,62,61,0.02325,0.028822,0.12746,0.38664,5421152,17063936,7246
212,http://www.checkfunnel.com,275180.057898,4,1,165,17585,38,132,0.090043,0.077034,0.104299,0.503551,5338008,10526720,4226
213,https://www.revotool.com,275180.716334,1,1,139,76438,57,208,0.090624,0.139163,0.314787,1.007109,6641688,17510400,7825
214,https://www.premiumhydrosolutions.com,275181.253468,4,1,143,10448,79,179,0.059753,0.121791,0.238318,0.658044,8831504,13307904,3027
215,https://csleeattorney.com,275182.01151,3,2,357,10655,24,41,0.034011,0.026207,0.287679,0.545052,15172108,22044672,3404
216,http://www.garciasclassiccarrestoration.com,275182.163476,3,1,2,436,6,6,0.003743,0.001662,0.002871,0.043848,1452628,3297280,2578
217,https://www.randmbespoke.com,275185.14833,7,7,393,979,37,45,0.019108,0.030887,0.301059,0.859775,20314616,34963456,2367
218,https://www.cslauto.fr,275186.778533,6,5,341,14687,27,26,0.027353,0.025753,0.229544,0.792377,18602724,33484800,3110
219,https://cslegnami.ch,275187.783894,4,4,200,26451,72,314,0.148147,0.114703,0.292626,1.418198,10301096,19509248,7036
