S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
88,https://virtuosolaw.com,274264.695354,10,11,1377,62262,93,244,0.303432,0.386156,0.26512,1.779644,10357940,17850368,3487
89,https://www.logopediehellingman.nl,274265.682733,6,5,90,11715,41,50,0.042553,0.017753,0.044802,0.467746,3623288,4743168,5817
90,https://www.reseauvita.fr,274266.374865,27,28,621,18556,103,233,0.147958,0.108118,0.339535,1.140185,20588672,40361984,7520
91,https://cheekyplum.com,274268.286336,13,13,5289,70712,40,81,0.064402,0.302739,0.811749,2.104387,18745956,37937152,6847
92,https://cosytoesphotography.co.uk,274270.483137,3,4,137,34124,50,339,0.128021,0.114358,0.302128,0.932581,11371368,20733952,10536
93,https://www.forever-decorationsdemariage.fr,274272.158943,3,5,185,33066,96,131,0.228872,0.117785,0.268361,1.152549,15321024,30216192,4987
94,https://nssrc.org,274273.011437,7,2,52,9561,28,29,0.085075,0.024675,0.128054,0.3952,7363744,12333056,2002
95,https://www.zimmerei-meister-schmidt.de,274273.906799,3,1,28,2981,19,10,0.007167,0.003795,0.010313,0.075808,2150024,3956736,4923
96,http://www.doraplus.com.tr,274274.21169,6,5,65,6030,18,35,0.019336,0.016112,0.105762,0.338508,6056424,10510336,5639
97,https://browndogindustries.com,274274.422693,4,1,34,23627,9,5,0.012414,0.003753,0.027755,0.128478,2976020,6053888,4909
98,https://www.shotrockshop.com,274274.744473,4,3,0,2638,13,11,0.025649,0.010012,0.001462,0.088573,1367028,3035136,5708
99,https://olavarriaga.com,274275.503428,7,4,91,10950,38,46,0.020143,0.033807,0.075527,0.275986,5874028,7192576,10409
100,https://handtruxtoys.com,274276.299486,3,1,56,6197,8,9,0.019075,0.012172,0.015102,0.106732,2700840,5394432,1666
101,http://westonbayyc.co.uk,274276.982469,4,2,4,442,8,9,0.001762,0.00121,0.005053,0.04382,2550224,3956736,2413
102,http://www.cskatalogy.cz,274277.453616,3,1,29,1729,15,18,0.003941,0.002953,0.013738,0.059011,2746588,5005312,3213
103,https://www.citroenspecialistvangompel.nl,274279.450089,2,4,111,2305,58,196,0.06671,0.117156,0.356968,1.083642,7223284,17326080,8130
104,https://trattoriadibernardone.com,274280.722266,18,11,127,12637,47,60,0.060555,0.032755,0.167338,0.768012,5127724,10248192,6366
105,https://www.drkcomtcenterforwellbeing.com,274281.173766,6,6,58,4393,58,83,0.036677,0.025348,0.169901,0.382621,7974640,11128832,2511
106,https://www.cslcharlotte.org,274281.705593,2,3,446,4602,65,222,0.067598,0.081272,0.366321,1.484369,12735300,31744000,3228
107,https://www.newlondonchd.com,274282.090737,5,3,257,8245,24,47,0.104377,0.022026,0.265763,0.519471,6890612,11821056,4956
108,http://logicalexecutive.com.au,274282.583838,4,3,80,14306,83,123,0.114381,0.056408,0.240732,0.700947,9568324,14704640,5161
109,https://www.cslrosny.fr,274282.8488,1,1,78,577,38,37,0.024766,0.031516,0.160615,0.419105,5490408,11239424,3029
110,https://www.entgratservice.de,274284.952426,3,1,30,6012,16,15,0.008237,0.004474,0.04674,0.106231,4134924,6316032,2947
111,https://citydoors.com.au,274286.144111,2,5,146,20084,34,123,0.045146,0.094178,0.15224,0.633432,9202080,26628096,2031
112,http://www.ctenergyconsumers.com,274286.655465,4,1,86,3489,92,92,0.030442,0.02407,0.03593,0.167048,3723908,6062080,3993
113,https://www.enensys.com,274287.449892,18,18,80,7052,57,75,0.077644,0.038481,0.181972,0.615085,15195168,30973952,5311
114,https://www.ms3.com.br,274288.069416,1,1,139,5042,50,202,0.053822,0.076203,0.182535,0.83816,5517584,8278016,18317
115,https://www.trium.de,274288.380495,4,1,20,4577,10,10,0.011662,0.010766,0.044921,0.148622,3623952,8278016,3068
116,https://www.vmaesthetics.com,274289.279369,18,25,590,16042,293,316,0.104159,0.145347,0.188039,1.359537,7673304,14983168,5454
117,https://gacs.org,274290.721577,4,1,74,9463,51,95,0.062255,0.119601,0.186548,0.66107,5014680,9986048,2060
118,https://telefaction.com,274292.410006,1,2,95,16540,87,148,0.107799,0.106675,0.220196,0.863339,6176176,16277504,3836
119,https://vecchiamalga.com,274293.504763,2,3,233,14374,61,112,0.047634,0.117856,0.473081,1.181313,7821544,18636800,3082
